account_id,post_id,Category,Page,Post URL,Date Published,Post Type,Rating,Debate,share_count,reaction_count,comment_count,Title,Content
1.84E+14,1.04E+15,mainstream,ABC News Politics,https://www.facebook.com/ABCNewsPolitics/posts/1035269309904628,9/19/2016,link,TRUE,,1,33,34,Can either candidate move the needle in the debates? An ABC News review of data since 1960 suggests that past debates have almost never directly and measurably changed the candidates' relative standings. But at least some debates may have had more subtle impacts.,"With the Hillary Clinton-Donald Trump debates upon us, the quadrennial question comes begging: Do these showdowns matter?

The chances for impact seem ripe this year. The two most unpopular major-party candidates in the history of ABC News/Washington Post polls are facing off. Donald Trump's unorthodox campaign style and provocative positions have piqued public interest; the debates may be the single best opportunity for him to allay concerns about his qualifications, temperament and policy promises alike. Hillary Clinton, for her part, needs -– like Trump -– to ease questions about her trustworthiness, as well as to spark greater enthusiasm among her supporters.

Can either candidate move the needle? It will be tough: A review of data since 1960 suggests that past debates have almost never directly and measurably changed the candidates' relative standings. That's admittedly a high standard, though, and at least some debates may have had more subtle impacts.

Debates have been held in 11 presidential races since 1960. We find just one after which the lead in presidential preference changed hands by a significant margin: In 1980, when Ronald Reagan uttered his ""are you better off?"" line. He gained 7 points in a post-debate poll.

Still, there are other cases in which debates (or post-debate evaluations) may have influenced campaign dynamics. Debates are, after all, an essential window on the candidates’ styles and grasp of the issues. They can seem to add or reverse momentum. And polls are only so precise.

Consider 1960: After Richard Nixon’s pasty-faced performance, John F. Kennedy went from 46 percent support to 49 percent in Gallup data; Nixon, from 47 percent to 46 percent. Those changes were within the polls' margin of sampling error. Nonetheless, the numerical ""lead"" switched, and collective memory maintains that the debates spelled Nixon's narrow defeat.

Nor did Gallup polls show significant movement immediately after the 1976 debate in which Gerald Ford said Poland was free (and news reports pounced on the misstatement); Jimmy Carter gained a single point, Ford lost 3. Still, even if not measurably, the gaffe may have halted what had been a slide in Carter's lead.

Then 73-year-old Reagan's teasing jibe in 1984 about 56-year-old Walter Mondale's ""youth and inexperience"" didn't meaningfully change the numbers in ABC News/Washington Post polls, but perhaps helped put aside questions about Reagan's age and acuity. In 2000, Al Gore's wonk-heavy performance saw him go in at +2 and leave at -3, but again, that was within sampling error.

There's also the question of missed opportunities, as in Mike Dukakis' bloodless answer, in 1988, to what he'd do if his wife were raped and murdered. He didn't seize on the chance to show a non-technocratic side. And ABC/Post polls did not meaningfully move.

ABC News/Washington Post polls in 1996, 2004, 2008 and 2012 also showed no significant movement around the debates. In 1992 there was more movement, including a significant gain for Ross Perot, but never enough to change Bill Clinton’s advantage.

In instant reactions, at least, polling has found that debates typically reinforce preconceived notions rather than change them. Most of each candidates' supporters say it's their candidate who won, and precious few say their minds were changed.

But post-debate evaluations can shift. In 1992, right after the first debate, 24 percent of viewers said Perot had won. By the next night, amid positive reviews of Perot's performance, that grew to 37 percent among people who'd watched, heard or read about it. And Perot's support did advance, from 6 percent before the debates to 17 percent after them.

That shift may have been real, but it also may have reflected the challenges of immediate post-debate reaction polls. Conducted in mere minutes, among individuals pre-recruited to participate, they're subject to considerable sampling and weighting limitations. Further, some ask who ""won,"" others who ""did the better job""; some accept ""tie"" as an answer and some don't.

Instant reactions also bypass the role of considered judgment. Hard as it may be to believe in the Twitter Age, sometimes people actually need a little while to think about things. The clearest response to the debates this year may take some days to emerge.


Rundown
Here's a rundown of the measurable debate effect (or lack thereof) in each election since 1960. There were no debates in 1964, 1968 or 1972.

Click here for data tables associated with each election.

1960: Gallup had Nixon +1, but that was 12 days before the first debate; it had Kennedy +3 after it. Twelve days is a long time and 4 points is a small number. Gallup didn't poll between the remaining three debates, but showed Kennedy +4 after the last one.

1976: News reports jumped on Ford's misstatement of Soviet domination of Eastern Europe in the second debate. Carter's lead had been diminishing, and that did stop after this debate. But the measured change after the second debate was tiny -- Carter gained 1 point, Ford lost 3.

1980: This one looks to have mattered: Gallup's pre-debate poll had Carter +8; post-debate, Reagan +3. (John Anderson did not participate.)

1984: Mondale crept up, but Reagan stayed ahead by double digits nonetheless.

1988: We don't have an ABC poll done right before the first debate; in a Gallup poll it was George H. W. Bush +8. Our poll after the second debate showed no meaningful movement.

1992: Perot moved up 5 points in ABC News polling after the first debate and 4 points after the third debate. Before the debates he had 6 percent support; after the last debate he was up to 17 percent. Clinton moved up by 5 points after the second debate, Bush down by 6, then Clinton down by 6 after the third. But Clinton led throughout.

1996: The race looked perhaps slightly tighter after the second debate, but Clinton maintained a double-digit lead throughout.

2000: Gore went in +2 and came out -3 -– a change of lead, but within sampling error. And a week after the last debate it was back to a dead heat, 47-47 percent.

2004: There were some wiggles in the debate period –- a 6-point lead for George W. Bush before the first debate was a dead heat before the third -– but when all was said and done the race after the debates looked a lot like the race before them.

2008: The main shift in vote preference came before the first debate, as Obama seized the reins of economic discontent after the failure of Lehman Brothers in mid-September. McCain's +2 in early September, just after the GOP convention, proved to be his best. The race shifted to Obama +9 in an ABC/Post poll completed Sept. 22, four days before the first debate. Obama never trailed again.

2012: Obama was +2 ahead of the first debate in ABC/Post polls, within the margin of sampling error, +3 after the second debate and -1 after the final debate, all within sampling error."
1.84E+14,1.04E+15,mainstream,ABC News Politics,https://www.facebook.com/ABCNewsPolitics/posts/1035305953234297,9/19/2016,link,TRUE,,34,63,27,Details Emerge About NYC Bomb Suspect Ahmad Khan Rahami,"As police today captured the man wanted for questioning in connection to a series of explosive devices in New York City and New Jersey, new information about him has begun to emerge.

The man, Ahmad Khan Rahami, 28, was born in 1988 in Afghanistan and is a naturalized U.S. citizen, according to the FBI. He was discovered and captured in Linden, New Jersey, not far from his last known address in Elizabeth. A U.S. official initially told ABC News Rahami came to the U.S. in 2000, but his father later said the family came over in 1995. Court records indicate Ahmad Rahami was from a large family and may have as many as seven siblings.

Former classmates said he attended Edison High School in New Jersey.

One of them, Chris Konya, said Rahami was quiet but funny and a ""pretty normal guy."" Konya and another former classmate said Rahami had a child with his high school girlfriend.

Rahami was enrolled at Middlesex County College from fall of 2010 to fall of 2012, where he worked toward an associate's degree in criminal justice but did not graduate, according to school officials. The Rahami family owned a fried chicken restaurant in Elizabeth. An employee and a recent customer said Rahami worked there.

""I come in here every week or two, just to get something to eat,"" local resident Ryan McCann told The Associated Press. ""He's always in there. He's a very friendly guy. That's what's so scary. It's hard when it's home.""

Members of the Rahami family apparently did not get along well with the local police and sued several officers in 2011 for allegedly harassing them over purported violations related the restaurant's operation. The case was dismissed in 2012, pending the resolution of a related legal matter, according to documents.

Investigators are poring over Rahami's past travel, including what may have been a recent nearly year-long trip in which he flew to Quetta, Pakistan in April 2013 and returned to the U.S. through the United Arab Emirates in March 2014, according to the U.S. official. Rahami reported to authorities that he was visiting his wife and family, who he said were Afghan refugees living in Quetta, and that he had traveled by car between Pakistan and Afghanistan. In August 2014 Rahami was arrested after allegedly stabbing someone in the leg, according to court documents. A complaint filed by a police officer said the officer ""has reason to believe that the person is a danger to himself, others or property,"" but Rahami was not indicted.

Today Rahami was shot at least once by police during an exchange of gunfire before he was captured and then taken to a local hospital, authorities said. He is not cooperating with investigators, even so far as refusing to give his name, according to a source briefed on the case. Officials said they have not determined a motive for the attacks.

Late Monday officials announced charges against Rahami related to the shootout with police: five counts of attempted murder, second-degree unlawful possession of a weapon and second-degree possession of a weapon for an unlawful purpose. Bail has been set at $5.2 million. It is unclear if Rahami has an attorney.

A senior Afghan official told ABC News the Afghan government is ready to assist the U.S. in any way it can and is searching for any information it may have on Rahami.
"
1.84E+14,1.04E+15,mainstream,ABC News Politics,https://www.facebook.com/ABCNewsPolitics/posts/1035322636565962,9/19/2016,link,TRUE,,35,170,86,Donald Trump Repeats Calls for Police Profiling After NYC Area Explosions,"One day after explosive devices were discovered in the Manhattan neighborhood of Chelsea and in Seaside Park and Elizabeth in New Jersey, Republican nominee Donald Trump repeated his calls to implement police profiling to stop more attacks in the United States.

""Our local police, they know who a lot of these people are. They are afraid to do anything about it because they don't want to be accused of profiling and they don't want to be accused of all sorts of things,"" Trump said on ""Fox and Friends"" when asked what policies he would implement as president to ""get tough"" on terrorism.He argued that the country had no other choice but to follow the lead of Israel.

""Israel has done an unbelievable job, and they will profile. They profile. They see somebody that's suspicious,"" he said, ""they will profile. They will take that person in and check out. Do we have a choice? Look what's going on. Do we really have a choice? We're trying to be so politically correct in our country, and this is only going to get worse.""

Trump previously made similar comments. After the Orlando nightclub shooting in June, he said in an interview on ""Face the Nation"" that it was something the U.S. needed to seriously consider."
1.84E+14,1.04E+15,mainstream,ABC News Politics,https://www.facebook.com/ABCNewsPolitics/posts/1035366579894901,9/19/2016,link,TRUE,,23,28,21,"NY, NJ Bombings Suspect Charged With Attempted Murder of Cops","Ahmad Khan Rahami, earlier named a person of interest in the weekend explosions in New York City and New Jersey, has been charged with five counts of attempted murder of a law enforcement officer. He is also charged with second-degree unlawful possession of a weapon and second-degree possession of a weapon for an unlawful purpose.

Rahami was taken into custody and hospitalized this morning after a shootout with police in Linden, New Jersey, the Union County acting prosecutor said today. He has been ""directly linked"" to the devices used in the New York and New Jersey explosions on Saturday, FBI official Bill Sweeney said. New York City Mayor Bill de Blasio said this afternoon there is ""every reason to believe this was an act of terror.""But there is ""no indication that there is a cell operating in the area or in the city,"" Sweeney said, adding that ""the investigation is ongoing.""

""We will continue to conduct investigative activity to ensure we completely understand Rahami's social network,"" Sweeney said. ""For that reason, I do not plan to answer specific questions about our techniques, or our knowledge of the devices.""

Rahami was taken into custody in Linden, about 4 miles south of Elizabeth, after being injured in the altercation, during which a responding officer was shot in his bulletproof vest and second officer was injured.Rahami was taken to a hospital in Newark, where he is undergoing surgery, said Grace Park, the Union County acting prosecutor. The extent of his injuries was not immediately clear.

The confrontation happened at about 10:30 a.m., when an owner of a Linden bar reported that someone was sleeping in a hallway of his establishment, Linden Mayor Derek Armstead told ABC New York station WABC.

The bar owner, Harry Bains, told ABC station WABC in an exclusive interview that ""it was my gut reaction"" to call the police.

Armstead said, ""One of our police officers went to investigate and to wake him up and realized that he was [Rahami], the suspect that had been being sought in the bombings.""

""He realized it was the suspect, and within moments, the suspect fired on him,"" Armstead said. ""And thank God that he had his vest on. And I think that was very helpful for him. I think that saved his life.""President Barack Obama said this afternoon that he spoke on the phone with the officers who apprehended Rahami.

""They are going to be fine, they sustained some modest injuries but ones that they’ll rapidly recover from,"" Obama said. ""They were in good spirits and I communicated to them of how appreciative the American people are.""

A source briefed on the investigation said agents are searching for other people they want to talk to and that the investigation is not over.

An alert sent shortly before 8 a.m. today said police were seeking a man in connection with the Saturday night bombing in Manhattan's Chelsea neighborhood -- identified by authorities as Rahami, 28. He is believed to be the man seen in surveillance video at both the scene of the explosion on West 23rd Street and on West 27th Street, where the unexploded device was found, a police source said.His last known address was in Elizabeth, New Jersey. The address of a home searched by FBI agents in Elizabeth this morning is linked to a person with a similar name. Rahami is a U.S. citizen of Afghan descent. Sources said authorities believe the three bombs -- one exploding in an oceanfront town on the New Jersey shore, one in Manhattan and another in Elizabeth, a town bordering Newark International Airport, just beyond New York City's borders -- are related.

Sweeney said today the explosion in Elizabeth is still under investigation. The explosions did not cause any fatalities, but the Chelsea explosion injured 29 people.

The incident have put residents, police and other security personnel on high alert. De Blasio, on ""Good Morning America"" today, praised the NYPD's response to the threat and said the department has ""the largest anti-terror force of any police force in the country.""

The latest incident was Sunday night in Elizabeth, about 15 miles southwest of the Chelsea neighborhood in Manhattan. Police recovered five possible homemade pipe bombs in a backpack, and one device exploded early today as a police robot attempted to disarm it. The FBI's Newark office tweeted that its bomb technicians had responded to the scene, along with investigators from Union County and the State Police of New Jersey. No one was injured.

The Manhattan blast took place on West 23rd Street around 8:30 p.m. Saturday and injured 29 people. All the injured have been released from hospitals, Mayor de Blasio said. New York Gov. Andrew Cuomo told reporters Sunday night there was no evidence of international involvement.

But he said today he considers the explosion an act of terrorism. ""I believe it was an act of terrorism,"" he said. ""I believe you set off a bomb and you try to set off a second bomb, that is an appearance of trying to intimidate New Yorkers."" He added, ""Yesterday there was no hint of any connection to foreigner terrorism.""

""No group had taken accountability. No group had put out a statement. It was very early in the investigation. It still is early. But there may very well turn out to be a link to foreign terrorist organizations,"" he said. ""We will find that out today or in the coming days."" New Jersey Sen. Bob Menendez called the incidents ""clearly an act of terrorism.""

In the search after the Chelsea explosion, officials found a possible second device on 27th Street, said James O'Neill, the city's police commissioner. The second device, described as a pressure cooker, was removed and did not explode.

The first incident of the weekend was Saturday morning, when an apparent improvised explosive device was set off in Seaside Park, New Jersey, a beach town about 90 miles south of New York City.

The device went off along the route of a planned 5K charity race to benefit U.S. Marines and sailors. Because of delays with the start of the run, the explosion occurred before many people were nearby.
"
1.84E+14,1.04E+15,mainstream,ABC News Politics,https://www.facebook.com/ABCNewsPolitics/posts/1035430716555154,9/19/2016,link,TRUE,,7,62,64,"Trump Surrogates Push Narrative That Clinton Started 'Birtherism' “Even Patti Solis Doyle, who was Hillary Clinton's campaign manager in 2008 ... until she was fired by Hillary Clinton, admitted on Friday ... that she said, yes, these are her words: There was a volunteer in Iowa who was pushing this,” Conway said.

Sollis Doyle, in an interview on CNN, said a volunteer coordinator had forwarded an email promoting the birther conspiracy. But she said that person was immediately fired and that the birther conspiracy theory was never promoted by Clinton herself. Conway also mentioned a memo circulated by Mark Penn when he was chief strategist for Clinton’s 2008 campaign that talked about Obama’s lack of American roots.

Penn wrote a memo in 2007 saying that Obama’s foreign background could present a weakness for him and that Clinton should emphasize her middle-class Midwestern upbringing.

""His roots to American values and culture are at best limited,"" the memo says. ""I cannot imagine America electing a president during a time of war who is not at his center fundamentally American in his thinking and values.""

But it does not say that Obama was foreign-born.

New Jersey Gov. Chris Christie, a prominent Trump supporter, also invoked Sollis Doyle’s comments and then downplayed Trump's role in promoting the idea that Obama wasn't born in the U.S.

""It's not true that he kept it up for five years,” Christie said on CNN’s “State of the Union.” “It wasn't like he was talking about it on a regular basis.""

Similarly, Republican National Committee Chairman Reince Priebus in an interview on ""Face the Nation"" said he thinks the ""birther"" movement ""was something that got started in the 2008 presidential campaign ... By the preponderance of evidence before us, Hillary Clinton, or her campaign, were definitely involved in this issue.""

Trump himself gave a short statement on Friday morning, at an event under the glittering chandeliers of his newest hotel, in an attempt to reverse his long-held assertion that there is uncertainty surrounding the location of President Obama's birth.

“Hillary Clinton and her campaign of 2008 started the birther controversy. I finished it. I finished it. You know what I mean. President Barack Obama was born in the United States, period,” the Republican presidential nominee said.

Trump's statement Friday came just a day after he refused to acknowledge to the Washington Post that Obama was born in the U.S. And for years, Trump had helped perpetuate conspiracy theories about whether the first black president is wholly American and in fact born in Hawaii -- as his public birth certificate says, an attack many, including Clinton, have said is racially charged.

In an August 2013 interview with ABC News' Jon Karl, for example, Trump stood behind his push to reveal Obama's ""true birth status.""

Karl asked, ""You don't acknowledge that you went overboard on this whole birther stuff?""

Trump replied, ""Actually, I think it made me very popular, if you want to know the truth, OK? So I do think I know what I'm doing."""," Donald Trump's surrogates and leading supporters on Sunday were pushing a narrative that the Republican candidate started two days earlier when he declared that Hillary Clinton's 2008 campaign ""started the birther controversy,"" meaning the false notion that President Obama was born outside the United States.

On CBS News’ Face the Nation on Sunday, Trump campaign manager Kellyanne Conway pushed the claim that so-called ""birtherism"" began with the Clinton 2008 campaign by invoking the words of former Clinton campaign manager Patti Sollis Doyle.
"
1.84E+14,1.04E+15,mainstream,ABC News Politics,https://www.facebook.com/ABCNewsPolitics/posts/1035503133214579,9/19/2016,link,TRUE,,4,23,2,Syrian Military Says US-Russian Brokered Cease-Fire Over,"A Syrian human rights group said today that at least 32 people had been killed and dozens injured in Aleppo, Syria, and its western suburbs in the hours after Syria's military declared the U.S.-Russian brokered cease-fire over.

After the Syrian military blamed rebels for not observing the truce, which was in its seventh day, the United Nations said a convoy transporting aid to the hard-hit city had been attacked, with 18 of the convoy's 31 trucks initially believed to have been hit. The rights group, the Syrian Observatory for Human Rights, said that 12 people had been killed when the convoy was struck. Farhan Haq, a deputy spokesman for U.N. Secretary-General Ban Ki-moon, told ABC News that he could not confirm any information on potential casualties or the cause of the attack. He said that the United Nations' initial understanding was that a warehouse operated by the Syrian Arab Red Crescent had also been hit along with the convoy, before the trucks could distribute any aid to 78,000 people whom international groups had hoped to reach.

The fighting came amid signs the cease-fire was falling apart, with Russia casting doubt on it and the Syrian military declaring its conclusion.

But U.S. Secretary of State John Kerry, speaking to reporters in New York City, disputed the notion that the cease-fire had ended and redirected his frustrations toward the Russians.

""We have not had seven days of calm and delivery of humanitarian goods, and so it'd be good if they didn't talk first to the press but if they talked to the people who are actually negotiating this,"" Kerry said. ""And I think it's -- as I said yesterday -- time to end the grandstanding and time to do the real work of delivering on the humanitarian goods that are necessary for access. So we just began today to see real movement of humanitarian goods, and let's see where we are, and we're happy to have a good conversation with them about how to proceed.""

Kerry is in New York City for the United Nations General Assembly, where international leaders will discuss the world's refugee crisis in a large part caused by the five-year Syrian war.

In a statement, State Department spokesman John Kirby stressed that the U.S. was waiting to hear from Russia on the current state of the cease-fire.

""While we have seen comments attributed to the Syrian military, our arrangement is with Russia, which is responsible for the Syrian regime's compliance, so we expect Russia to clarify their position,"" he said.

Before today's declaration by the Syrian military, the cease-fire was already on shaky ground, with reports of violations on both sides.

According to the Syrian Observatory for Human Rights, the besieged city of Aleppo was hit by at least four airstrikes on Sunday. The group also reported that convoys carrying humanitarian aid shipments had not received permission to enter the city, which desperately needs them. Aleppo is home to nearly 2 million people who lack regular access to water and electricity. An estimated 250,000 to 275,000 people live in areas held by anti-government rebels that have been a focus of intense airstrikes and artillery bombardment. Additionally, on Saturday the U.S.-led coalition fighting ISIS halted an airstrike in eastern Syria that the Russian Defense Ministry said killed 62 Syrian government soldiers and injured 100 others.

A U.S. defense official told ABC News that the strike was supposed to target a collection of vehicles and personnel believed to belong to ISIS. The airstrike was halted after Russia communicated to the coalition that it was Syrian forces that were being struck. Australia, Denmark and the United Kingdom have acknowledged that their aircraft participated in the strike.

A senior Obama administration official told ABC News that the U.S. ""relayed our regret"" to the Syrian government through Russian officials.

According to a U.S. defense official, the leading theory is that the Syrian forces hit in the airstrike may have been conscripts or prisoners wearing civilian clothes, not regular Syrian Army uniforms.

The cease-fire must be renewed every 48 hours. The last extension was on Friday."
1.84E+14,1.04E+15,mainstream,ABC News Politics,https://www.facebook.com/ABCNewsPolitics/posts/1035592746538951,9/19/2016,link,TRUE,,15,276,74,Ivanka Trump Receiving Her Own Secret Service Protection," Ivanka Trump now has her own Secret Service protection, sources familiar with the matter tell ABC News.

Before now, Trump's adult children only received protection while physically near the candidate. But Ivanka Trump will now receive Secret Service protection assigned to her directly. Earlier this month, Chelsea Clinton received her own Secret Service protection, as well.  Ivanka Trump now has her own Secret Service protection, sources familiar with the matter tell ABC News.

Before now, Trump's adult children only received protection while physically near the candidate. But Ivanka Trump will now receive Secret Service protection assigned to her directly. Earlier this month, Chelsea Clinton received her own Secret Service protection, as well."
1.84E+14,1.04E+15,mainstream,ABC News Politics,https://www.facebook.com/ABCNewsPolitics/posts/1035595553205337,9/19/2016,link,TRUE,,56,300,65,Obama Describes Trump's Presidential Run as an 'Infomercial' and 'Reality Show',"President Barack Obama characterized Donald Trump's presidential campaign as an ""infomercial"" during a fundraiser in Manhattan Sunday night.

In town for this week's United Nations General Assembly, Obama spoke to supporters at the Gramercy Park home of restaurateur Danny Meyer and his wife Audrey. ""This guy's unqualified to be president and he shows no interest in even gaining the rudimentary knowledge required to make really hard decisions on a day to day basis,"" Obama said of the Republican presidential candidate. ""There's no curiosity. There's no desire to get up to speed. It's a infomercial. It's a reality show.""

Trump previously appeared on several seasons of NBC's reality show, ""The Apprentice,"" and he has also lent his name to several products over the course of his career, including menswear, alcohol, magazines and hotels.

And in a nod to Trump's comments and policies that have been slammed by critics as racist and xenophobic, Obama said, ""It's tapping into some of our worst impulses ... one's that divide us rather then bring us together. One's that seek to put down people who have been historically vulnerable opposed to lifting them up.""

Obama admitted that presidential race will be a close race, explaining, ""So this should not be a close election but it will be and the reason it will be is not because of Hillary's flaws but rather because structurally we've become a very polarized society and if all you're doing is watching Fox News and listening to Rush Limbaugh... a lot of misinformation on a regular basis, it's very hard for you to think that you're going to vote for somebody who you've been told is taking the country in the wrong direction.""

The president also acknowledge that Americans are still trying to come to terms with having a female president. ""I will also say that there's a reason why we haven't had a women president... As a society we still grapple with what it means to see powerful women. And it still troubles us in a lot of ways unfairly. And that expresses itself in all sorts of ways."""
62317591679,1.02E+16,mainstream,Politico,https://www.facebook.com/politico/posts/10153840261811680,9/19/2016,link,TRUE,,47,646,282,Libertarian candidates: We will alter course of the election,"Despite not making it to the first debate stage, both parts of the Libertarian ticket agree they are “going to alter the course of this election whether or not we’re in the debates.”

Last week, it was determined that Libertarian candidate Gary Johnson and Green Party candidate Jill Stein did not make the cut for the first presidential debate, which will be held Sept. 26. Despite that, on Sunday in an interview that aired on “60 Minutes,” Johnson and running mate William Weld agreed with interviewer Steve Kroft that their ticket still has the ability to make an impact. Johnson said 70 percent of America do not know either him or Weld. At the end of the day, the former New Mexico governor said the Libertarian ticket is taking votes from both Democratic nominee Hillary Clinton and Republican nominee Donald Trump.


“This is both sides, man, this is both barrels,” Johnson said on the CBS news program. “I’m not going to lose one minute of sleep ruining this two party monopoly that is going on. I think they are dinosaurs and I think we’re the comet in this whole equation. I’m glad for it.”

For his part, Weld said he thought their ticket would hurt Trump more. “I think at the end of the day, it would be most likely Trump than Clinton,” the former Massachusetts’s governor said. Johnson also acknowledged his recent gaffe, where he could not identify what the Syrian city of Aleppo was. He said there is no quicker way to fix mistakes than acknowledging them in the first place.

“I am human, I have a filter, it starts with honesty, it starts with the truth. When I was asked the question, the first thing that came to my mind is this is an acronym,” Johnson said. “You know so many people have said 90 percent of American doesn’t know Aleppo, well 90 percent of America is not running for president of the United States. No excuse, no excuse.”"
62317591679,1.02E+16,mainstream,Politico,https://www.facebook.com/politico/posts/10153840402091680,9/19/2016,link,TRUE,,10,66,22,Obama to meet with Netanyahu,"President Barack Obama is scheduled to meet with Israeli Prime Minister Benjamin Netanyahu on the sidelines of this week’s U.N. General Assembly in New York, the White House said Sunday.

The meeting, set to occur Wednesday, “will afford them an opportunity to discuss the strong ties between the United States and Israel, as recently underscored by the finalization of a new 10-year Memorandum of Understanding with Israel, the single largest pledge of military assistance in U.S. history,” White House Press Secretary Joshua Earnest said. “The meeting also will be an opportunity to discuss the need for genuine advancement of a two-state solution to the Israeli-Palestinian conflict in the face of deeply troubling trends on the ground.” Earnest said the two leaders are “likely” to discuss the U.S.-led nuclear deal with Iran, as well as “other regional security issues.”


Last week, Israel and the United States inked a $38 billion, 10-year aid package that is the largest such agreement in U.S. history. But the deal came with conditions that Netanyahu’s political rivals have attacked as unacceptable concessions, including a promise not to ask Congress for additional funding and the phasing out of provisions that allowed Israel to spend a portion of U.S. aid money on its own defense industry.

Ehud Barak, a former Israeli prime minister and a former defense minister under Netanyahu, blasted the arrangement in a Washington Post op-ed as “far less than what could have been obtained before the prime minister chose to blatantly interfere with U.S. politics.” Barak has also gone after Netanyahu in more than an half-dozen scathing interviews in Israel. Netanyahu on Sunday defended the deal at the start of his weekly cabinet meeting, thanking Obama and the U.S. Congress and pushing back against Barak and other unnamed critics.

“I hear all kinds of background noise and disinformation about the agreement,” Netanyahu said. “I would like to make it clear: We were never offered more. We were not offered more money, not even one dollar, and we were never offered special technologies. These are distortions and fabrications of interested parties; either they do not have the facts or they are distorting the facts, and they are, of course, showing ingratitude, and in my view this is the saddest thing of all, ingratitude to our greatest and best friend, the United States.”

Netanyahu’s relationship with Obama has been strained through the president’s two terms in office — tensions that exploded into public view last year, when he accepted an invitation from then House Speaker John Boehner to address a joint meeting of Congress without first informing the White House. The Israeli prime minister denied any breach of protocol, but he used the March 2015 speech to blast the nuclear agreement with Iran as a “bad deal” that posed a mortal threat to Israel. Enough Democrats stood by the president, however, and Republicans weren’t able to stop it from going into effect in January. The two leaders have sought to mend fences, but tensions have occasionally flared. In March 2016, Netanyahu abruptly canceled a planned meeting with Obama, a move the White House criticized as bad manners.

More recently, the Obama administration chastised Netanyahu for saying that Palestinians favored “ethnic cleansing,” with the State Department described as “inappropriate and unhelpful.”

The meeting comes as the Obama administration reportedly weighs whether to outline its view of what a two-state solution should look like, a move that would embarrass Netanyahu and likely lead to a new explosion of tensions just as the president wraps up his tenure.

Obama will also have a “pull-aside” meeting with Chinese Premier Li Keqiang on Monday, Earnest said. “The two leaders will discuss steps to deepen the U.S.-China relationship, while addressing issues of bilateral and regional concern, including North Korea’s provocations,” he said."
